X,Y,Accuracy,Player,Period
3,4,0%,Wallam,1 point
4,4,100%,Wallam,1 point
5,4,0%,Wallam,1 point
6,4,0%,Wallam,1 point
7,4,0%,Wallam,1 point
8,4,0%,Wallam,1 point
1,5,0%,Wallam,1 point
2,5,0%,Wallam,1 point
3,5,0%,Wallam,1 point
4,5,0%,Wallam,1 point
5,5,0%,Wallam,1 point
6,5,0%,Wallam,1 point
7,5,0%,Wallam,1 point
8,5,0%,Wallam,1 point
1,1,100%,Walmsley,1 point
2,1,100%,Walmsley,1 point
3,1,100%,Walmsley,1 point
4,1,100%,Walmsley,1 point
5,1,100%,Walmsley,1 point
6,1,100%,Walmsley,1 point
7,1,75%,Walmsley,1 point
8,1,100%,Walmsley,1 point
1,2,100%,Walmsley,1 point
2,2,0%,Walmsley,1 point
3,2,100%,Walmsley,1 point
4,2,0%,Walmsley,1 point
5,2,0%,Walmsley,1 point
6,2,0%,Walmsley,1 point
7,2,100%,Walmsley,1 point
8,2,0%,Walmsley,1 point
1,3,0%,Walmsley,1 point
2,3,0%,Walmsley,1 point
3,3,0%,Walmsley,1 point
4,3,0%,Walmsley,1 point
5,3,0%,Walmsley,1 point
6,3,0%,Walmsley,1 point
7,3,0%,Walmsley,1 point
8,3,0%,Walmsley,1 point
1,4,0%,Walmsley,1 point
2,4,0%,Walmsley,1 point
3,4,0%,Walmsley,1 point
4,4,0%,Walmsley,1 point
5,4,0%,Walmsley,1 point
6,4,0%,Walmsley,1 point
7,4,0%,Walmsley,1 point
8,4,0%,Walmsley,1 point
1,5,0%,Walmsley,1 point
2,5,0%,Walmsley,1 point
3,5,0%,Walmsley,1 point
4,5,0%,Walmsley,1 point
5,5,0%,Walmsley,1 point
6,5,0%,Walmsley,1 point
7,5,0%,Walmsley,1 point
8,5,0%,Walmsley,1 point
1,1,0%,Williams,1 point
2,1,0%,Williams,1 point
3,1,0%,Williams,1 point
4,1,0%,Williams,1 point
5,1,0%,Williams,1 point
